TimeStamp,Open,High,Low,Close,Volume
1506556800000,0.097,0.11,0.055,0.109997,3863.12
1506643200000,0.106969,0.106969,0.092,0.103726,5850.06
1506729600000,0.102201,0.120001,0.0962,0.11287,10078.76
1506816000000,0.112868,0.119875,0.0962,0.119869,5917.43
1506902400000,0.117001,0.129999,0.115103,0.123963,12633.78
1506988800000,0.1221,0.12989,0.109657,0.114926,7872.11
1507075200000,0.114926,0.12089,0.10105,0.109599,12567.92
1507161600000,0.109589,0.119899,0.10009,0.109001,12798.58
1507248000000,0.113599,0.1162,0.108005,0.1085,15187.89
1507334400000,0.108031,0.119,0.106302,0.116,19731.76
1507420800000,0.114702,0.1265,0.099552,0.103999,67866.18
1507507200000,0.101217,0.11,0.091052,0.099891,31063.86
1507593600000,0.098002,0.105099,0.0945,0.097698,16787.07
1507680000000,0.0975,0.10398,0.096001,0.0983,16895.99
1507766400000,0.098414,0.100099,0.0911,0.091406,16046.48
1507852800000,0.091413,0.0945,0.077001,0.085,33310.13
1507939200000,0.0855,0.087989,0.080001,0.080717,11585.53
1508025600000,0.080717,0.084703,0.079101,0.082002,8863.13
1508112000000,0.083289,0.08591,0.07865,0.0851,10244.82
1508198400000,0.085274,0.102284,0.084503,0.099501,29456.9
1508284800000,0.09951,0.1035,0.0925,0.095498,14837.07
1508371200000,0.095499,0.097,0.0894,0.09202,11706.23
1508457600000,0.094359,0.0968,0.0901,0.0917,9903.13
1508544000000,0.0917,0.096,0.08834,0.0894,10623.28
1508630400000,0.091899,0.099,0.091899,0.09649,10354.31
1508716800000,0.096493,0.09877,0.094503,0.0976,7410.63
1508803200000,0.0976,0.105799,0.0958,0.102,19578.55
1508889600000,0.102,0.103025,0.09605,0.096101,23186.05
1508976000000,0.096151,0.098999,0.093,0.094802,10888.86
1509062400000,0.0955,0.098804,0.09421,0.096702,7077.09
1509148800000,0.098492,0.098492,0.092537,0.0926,9155.6
1509235200000,0.093697,0.094,0.086,0.090003,10439.55
1509321600000,0.090003,0.095899,0.088842,0.093309,11743.42
1509408000000,0.094583,0.1071,0.092501,0.09321,17823.22
1509494400000,0.093213,0.0953,0.088,0.091858,17386.17
1509580800000,0.091859,0.094,0.082001,0.086103,34494.61
1509667200000,0.086256,0.09199,0.08511,0.087768,21809.18
1509753600000,0.087938,0.092258,0.086887,0.088071,11090.42
1509840000000,0.088203,0.0921,0.086536,0.088979,9530.93
1509926400000,0.089509,0.0915,0.086101,0.088333,7310.6
1510012800000,0.088555,0.091457,0.086553,0.089858,11008.88
1510099200000,0.0895,0.1125,0.087821,0.1,41030.79
1510185600000,0.100001,0.1059,0.094229,0.09942,26615.85
1510272000000,0.09942,0.102,0.0913,0.094315,19739.05
1510358400000,0.095,0.0985,0.0882,0.090772,16559.18
1510444800000,0.090745,0.0951,0.08401,0.089685,83662.85
1510531200000,0.089684,0.094799,0.084102,0.090966,15830.28
1510617600000,0.090894,0.091,0.084101,0.08831,22283.82
1510704000000,0.089695,0.0904,0.0851,0.0897,13910.7
1510790400000,0.088101,0.0915,0.086,0.08734,29795.29
1510876800000,0.08627,0.127,0.084001,0.1215,94785.52
1510963200000,0.1215,0.1443,0.11,0.123,142779.39
1511049600000,0.123,0.131,0.1,0.113,77783.4
1511136000000,0.113,0.1219,0.096,0.097002,81582.71
1511222400000,0.097001,0.10228,0.09211,0.095201,55112.28
1511308800000,0.095205,0.1023,0.092222,0.093593,37086.95
1511395200000,0.093686,0.096766,0.080501,0.0857,69725.58
1511481600000,0.085346,0.086625,0.07205,0.073553,46734.58
1511568000000,0.07254,0.085999,0.071,0.082289,65403.4
1511654400000,0.08229,0.08653,0.08,0.081001,38725.65
1511740800000,0.081002,0.0874,0.081,0.08411,43498.67
1511827200000,0.08411,0.084794,0.078675,0.081,74880.64
1511913600000,0.081,0.08381,0.071002,0.078,91093.3
1512000000000,0.07706,0.079325,0.0736,0.075623,61467.88
1512086400000,0.075623,0.084,0.074042,0.078,72325.44
1512172800000,0.07751,0.078978,0.076,0.07646,49832.22
1512259200000,0.07646,0.083899,0.076459,0.0795,57922.8
1512345600000,0.07955,0.09369,0.079089,0.09004,101810.39
1512432000000,0.090039,0.092499,0.085062,0.085417,76771.97
1512518400000,0.085416,0.093131,0.082,0.083708,111815.67
1512604800000,0.083296,0.0887,0.08,0.081671,87832.52
1512691200000,0.082047,0.08611,0.077523,0.080837,77707.37
1512777600000,0.081142,0.083241,0.0733,0.076619,93156.76
1512864000000,0.076683,0.078972,0.074004,0.077,54815.59
1512950400000,0.076643,0.081,0.069001,0.069013,69727.27
1513036800000,0.069023,0.0733,0.055407,0.061539,105656.14
1513123200000,0.062935,0.076865,0.059,0.064413,162729.32
1513209600000,0.064413,0.077781,0.060703,0.073706,263427.78
1513296000000,0.074016,0.076692,0.066012,0.070942,129709.81
1513382400000,0.0714,0.074999,0.0671,0.072081,132416.67
1513468800000,0.072396,0.108424,0.0696,0.0955,224579.28
1513555200000,0.0955,0.1124,0.091112,0.098224,206401.63
1513641600000,0.0988,0.1053,0.08319,0.087311,151596.75
1513728000000,0.08721,0.097858,0.080515,0.096478,172657.38
1513814400000,0.096473,0.0987,0.0865,0.0897,146537.36
1513900800000,0.089978,0.091,0.081302,0.086701,183745.83
1513987200000,0.087441,0.0925,0.085002,0.086499,100243.95
1514073600000,0.087884,0.089587,0.084027,0.088999,88171.49
1514160000000,0.088554,0.094219,0.082349,0.091091,94087.16
1514246400000,0.091927,0.093606,0.08259,0.087495,101190.35
1514332800000,0.087202,0.0925,0.084,0.090982,104636.0
1514419200000,0.09,0.093,0.084799,0.0912,102593.58
1514505600000,0.091196,0.102,0.0881,0.100838,122973.33
1514592000000,0.100838,0.104399,0.09251,0.104386,132184.57
1514678400000,0.104387,0.108926,0.095399,0.102392,125577.72
1514764800000,0.1021,0.106,0.09823,0.1036,102724.14
1514851200000,0.103599,0.113299,0.091888,0.1045,216608.39
1514937600000,0.1045,0.112899,0.098346,0.110905,191854.1
1515024000000,0.110905,0.11449,0.099,0.103565,217578.0
1515110400000,0.1035,0.107458,0.095,0.0993,193040.4
1515196800000,0.099154,0.1037,0.095147,0.099898,158802.75
1515283200000,0.099898,0.104764,0.0905,0.090797,182526.43
1515369600000,0.090795,0.093498,0.080025,0.089569,156199.21
1515456000000,0.089565,0.108,0.088719,0.098298,316729.88
1515542400000,0.098298,0.099999,0.084006,0.098216,328067.27
1515628800000,0.098218,0.098229,0.088523,0.094548,195092.28
1515715200000,0.094736,0.101348,0.093002,0.098156,173566.09
